Classification,Cestode_distance_12S,Cestode_distance 16S,Cestode_distance_COI,Cestode_distance_COII,Cestode_distance_CYTB,Cestode_distance_ND
Species,0.077,0.1,0.112,0.109,0.148,0.132
Species,0.08,0.11,0.116,0.093,0.144,0.13
Species,0.03,0.024,0.046,0.029,0.041,0.048
Species,0.091,0.072,0.093,0.148,0.124,0.155
Species,0.091,0.072,0.094,0.146,0.124,0.153
Species,0.089,0.09,0.093,0.109,0.119,0.136
Species,0.096,0.072,0.094,0.146,0.126,0.154
Species,0.093,0.082,0.081,0.109,0.105,0.126
Species,0.091,0.078,0.08,0.111,0.107,0.127
Species,0.089,0.088,0.092,0.112,0.12,0.137
Species,0.089,0.09,0.091,0.111,0.119,0.137
Species,0.098,0.082,0.091,0.118,0.123,0.129
Species,0.087,0.08,0.095,0.112,0.121,0.144
Species,0.116,0.101,0.09,0.116,0.12,0.147
Species,0.087,0.088,0.099,0.118,0.136,0.154
Species,0.057,0.057,0.073,0.114,0.094,0.141
Species,0.055,0.056,0.075,0.116,0.096,0.139
Species,0.087,0.08,0.081,0.128,0.118,0.136
Species,0.087,0.081,0.081,0.128,0.119,0.136
Species,0.091,0.072,0.079,0.109,0.123,0.136
Species,0.093,0.072,0.095,0.13,0.112,0.145
Species,0.107,0.098,0.093,0.134,0.129,0.168
Species,0.082,0.067,0.101,0.137,0.129,0.147
Species,0.057,0.057,0.073,0.112,0.094,0.138
Species,0.055,0.056,0.075,0.114,0.096,0.137
Species,0.087,0.08,0.082,0.127,0.118,0.135
Species,0.087,0.081,0.081,0.127,0.119,0.135
Species,0.091,0.072,0.079,0.111,0.123,0.135
Species,0.093,0.072,0.096,0.128,0.112,0.143
Species,0.107,0.098,0.093,0.135,0.128,0.167
Species,0.082,0.067,0.101,0.135,0.129,0.145
Species,0.082,0.1,0.078,0.105,0.09,0.125
Species,0.08,0.096,0.077,0.107,0.092,0.125
Species,0,0.001,0.004,0.005,0.003,0.006
Species,0,0.003,0.003,0.004,0.002,0.006
Species,0.032,0.028,0.044,0.077,0.068,0.07
Species,0.089,0.088,0.091,0.105,0.12,0.138
Species,0.093,0.106,0.101,0.127,0.106,0.148
Species,0.098,0.092,0.101,0.109,0.12,0.156
Species,0.062,0.057,0.073,0.112,0.096,0.143
Species,0.059,0.056,0.075,0.114,0.098,0.142
Species,0.091,0.081,0.081,0.127,0.12,0.136
Species,0.091,0.082,0.081,0.127,0.121,0.136
Species,0.093,0.073,0.079,0.105,0.125,0.137
Species,0.096,0.074,0.096,0.13,0.114,0.148
Species,0.109,0.101,0.093,0.132,0.131,0.167
Species,0.084,0.067,0.101,0.132,0.131,0.15
Species,0.082,0.1,0.079,0.109,0.091,0.121
Species,0.082,0.101,0.078,0.107,0.09,0.121
Species,0.082,0.088,0.073,0.1,0.093,0.103
Species,0.071,0.093,0.079,0.094,0.103,0.133
Species,0.089,0.104,0.082,0.111,0.102,0.138
Species,0.08,0.087,0.093,0.109,0.117,0.138
Species,0.08,0.096,0.077,0.111,0.093,0.121
Species,0.08,0.097,0.077,0.109,0.092,0.121
Species,0.08,0.085,0.073,0.102,0.095,0.103
Species,0.068,0.09,0.081,0.096,0.105,0.135
Species,0.087,0.101,0.082,0.112,0.104,0.137
Species,0.077,0.086,0.091,0.107,0.119,0.137
Species,0.032,0.028,0.042,0.075,0.069,0.064
Species,0.089,0.088,0.09,0.107,0.12,0.135
Species,0.093,0.106,0.101,0.13,0.106,0.148
Species,0.098,0.092,0.1,0.112,0.12,0.153
Species,0.032,0.029,0.041,0.077,0.068,0.064
Species,0.089,0.09,0.09,0.105,0.119,0.135
Species,0.093,0.107,0.101,0.128,0.105,0.148
Species,0.098,0.093,0.099,0.111,0.119,0.153
Species,0.096,0.081,0.089,0.105,0.122,0.126
Species,0.103,0.096,0.094,0.123,0.108,0.149
Species,0.087,0.078,0.093,0.103,0.128,0.147
Species,0.091,0.098,0.091,0.112,0.122,0.154
Species,0.077,0.085,0.092,0.116,0.118,0.135
Species,0.107,0.112,0.105,0.134,0.13,0.159
Species,0.139,0.181,0.194,0.258,0.218,0.214
Genus,0.153,0.186,0.171,0.21,0.225,0.239
Genus,0.169,0.183,0.17,0.217,0.23,0.221
Genus,0.157,0.194,0.152,0.209,0.209,0.231
Genus,0.169,0.189,0.167,0.198,0.218,0.222
Genus,0.15,0.194,0.149,0.203,0.209,0.233
Genus,0.173,0.193,0.173,0.2,0.217,0.221
Genus,0.169,0.184,0.171,0.216,0.221,0.228
Genus,0.162,0.191,0.166,0.2,0.214,0.219
