Classification,Nematode_distance_12S,Nematode_distance 16S,Nematode_distance_COI,Nematode_distance_COII,Nematode_distance_CYTB,Nematode_distance_ND
Species,0,0.015,0.002,0.002,0.001,0.001
Species,0,0.008,0.003,0.005,0.001,0.001
Species,0.02,0.005,0.002,0,0.021,0.006
Species,0.02,0.007,0.005,0.005,0.02,0.005
Species,0,0.002,0.008,0.002,0.019,0.041
Species,0.014,0.013,0.025,0.04,0.037,0.102
Species,0.052,0.06,0.083,0.103,0.099,0.095
Species,0.055,0.06,0.084,0.096,0.092,0.006
Genus,0.063,0.079,0.094,0.087,0.151,0.132
Genus,0.063,0.084,0.097,0.085,0.15,0.131
Genus,0.075,0.081,0.095,0.087,0.164,0.136
Genus,0.063,0.094,0.097,0.085,0.152,0.133
Genus,0.063,0.099,0.099,0.083,0.151,0.132
Genus,0.075,0.096,0.097,0.085,0.165,0.137
Genus,0.084,0.187,0.158,0.152,0.216,0.189
Genus,0.084,0.187,0.159,0.154,0.22,0.19
Genus,0.115,0.109,0.117,0.139,0.122,0.143
Genus,0.089,0.121,0.12,0.15,0.138,0.171
Genus,0.11,0.111,0.113,0.139,0.115,0.138
Genus,0.081,0.119,0.12,0.149,0.136,0.175
Genus,0.104,0.103,0.114,0.132,0.117,0.142
Genus,0.092,0.118,0.123,0.149,0.127,0.152
Genus,0.101,0.109,0.111,0.149,0.14,0.148
Family,0.107,0.174,0.13,0.138,0.215,0.174
Family,0.098,0.161,0.128,0.112,0.204,0.166
Family,0.118,0.179,0.123,0.125,0.219,0.17
Family,0.104,0.204,0.15,0.147,0.229,0.175
Family,0.104,0.202,0.152,0.149,0.227,0.179
Family,0.11,0.197,0.151,0.167,0.233,0.166
Family,0.107,0.185,0.132,0.136,0.216,0.175
Family,0.098,0.172,0.13,0.111,0.205,0.168
Family,0.118,0.19,0.125,0.123,0.22,0.171
Family,0.104,0.215,0.15,0.147,0.23,0.176
Family,0.104,0.214,0.152,0.149,0.228,0.18
Family,0.11,0.209,0.153,0.167,0.234,0.168
Family,0.101,0.154,0.112,0.13,0.197,0.155
Family,0.098,0.149,0.117,0.118,0.185,0.155
Family,0.121,0.162,0.109,0.123,0.204,0.168
Family,0.089,0.19,0.133,0.152,0.223,0.157
Family,0.089,0.19,0.135,0.154,0.223,0.161
Family,0.104,0.179,0.131,0.156,0.235,0.174
Family,0.101,0.159,0.12,0.134,0.196,0.154
Family,0.098,0.156,0.112,0.118,0.185,0.154
Family,0.121,0.169,0.136,0.123,0.203,0.166
Family,0.089,0.197,0.137,0.149,0.222,0.156
Family,0.089,0.197,0.131,0.15,0.222,0.16
Family,0.104,0.185,0.179,0.152,0.234,0.173
Family,0.107,0.157,0.109,0.13,0.209,0.156
Family,0.104,0.154,0.135,0.118,0.199,0.156
Family,0.127,0.167,0.137,0.123,0.216,0.169
Family,0.107,0.194,0.131,0.152,0.232,0.161
Family,0.107,0.194,0.177,0.154,0.232,0.165
Family,0.121,0.182,0.173,0.156,0.247,0.178
Family,0.098,0.172,0.143,0.149,0.216,0.159
Family,0.098,0.172,0.191,0.15,0.22,0.162
Family,0.112,0.189,0.188,0.152,0.241,0.185
Order,0.297,0.293,0.315,0.389,0.33,0.346
Order,0.297,0.296,0.315,0.391,0.325,0.346
Order,0.277,0.301,0.324,0.388,0.335,0.343
Order,0.294,0.3,0.321,0.422,0.344,0.344
Order,0.288,0.298,0.328,0.389,0.335,0.32
Order,0.291,0.285,0.19,0.426,0.343,0.321
Order,0.297,0.301,0.315,0.388,0.331,0.348
