Classification,Nematode_12S,Nematode_16S,Nematode_COI,Nematode_COII,Nematode_cytb,Nematode_ND
Species,0.046,0.065,0.103,0.129,0.129,0.155
Species,0.072,0.116,0.137,0.154,0.172,0.168
Species,0.043,0.075,0.081,0.105,0.109,0.126
Species,0.058,0.127,0.135,0.143,0.178,0.159
Species,0.078,0.108,0.136,0.13,0.175,0.174
Species,0.086,0.113,0.128,0.123,0.155,0.166
Species,0.066,0.109,0.122,0.147,0.169,0.157
Species,0.014,0.066,0.11,0.13,0.108,0.124
Species,0.006,0.018,0.067,0.136,0.121,0.124
Species,0.009,0.056,0.107,0.083,0.064,0.062
Species,0.026,0.096,0.105,0.123,0.11,0.107
Species,0.032,0.041,0.12,0.136,0.163,0.169
Genus,0.11,0.164,0.135,0.138,0.197,0.207
Genus,0.115,0.162,0.142,0.143,0.189,0.23
Genus,0.061,0.111,0.112,0.129,0.144,0.178
Genus,0.058,0.116,0.12,0.127,0.163,0.151
Genus,0.061,0.106,0.119,0.132,0.154,0.175
Genus,0.037,0.089,0.132,0.132,0.149,0.156
Genus,0.035,0.101,0.14,0.159,0.141,0.141
Genus,0.046,0.098,0.138,0.141,0.156,0.171
Genus,0.04,0.104,0.138,0.138,0.141,0.131
Family,0.161,0.182,0.171,0.228,0.243,0.258
Family,0.156,0.175,0.177,0.239,0.245,0.263
Family,0.164,0.175,0.183,0.216,0.259,0.269
Family,0.17,0.19,0.19,0.23,0.27,0.269
Family,0.135,0.164,0.152,0.223,0.239,0.263
Family,0.13,0.141,0.149,0.223,0.242,0.261
Family,0.127,0.157,0.14,0.207,0.241,0.269
Family,0.124,0.142,0.141,0.216,0.261,0.265
Family,0.124,0.159,0.146,0.219,0.231,0.253
Family,0.141,0.159,0.15,0.214,0.233,0.259
Family,0.127,0.157,0.141,0.217,0.217,0.259
Family,0.127,0.164,0.148,0.212,0.24,0.256
Family,0.176,0.184,0.177,0.158,0.202,0.217
Family,0.164,0.164,0.186,0.17,0.208,0.218
