Classification,Nematode_distance_12S,Nematode_distance 16S,Nematode_distance_COI,Nematode_distance_COII,Nematode_distance_CYTB,Nematode_distance_ND
Species,0.147,0.225,0.243,0.304,0.275,0.301
Species,0.187,0.262,0.266,0.286,0.281,0.331
Species,0.196,0.253,0.262,0.295,0.293,0.335
Species,0.225,0.262,0.262,0.313,0.283,0.339
Species,0.173,0.24,0.253,0.283,0.255,0.296
Species,0.179,0.242,0.26,0.295,0.284,0.294
Species,0.17,0.237,0.243,0.319,0.297,0.292
Species,0.086,0.101,0.174,0.208,0.21,0.236
Species,0.193,0.247,0.257,0.281,0.28,0.31
Species,0.21,0.232,0.256,0.293,0.266,0.306
Species,0.023,0.048,0.092,0.096,0.096,0.095
Species,0.032,0.036,0.097,0.085,0.077,0.094
Species,0.026,0.041,0.088,0.092,0.091,0.109
Species,0.075,0.108,0.129,0.132,0.147,0.154
Species,0.078,0.113,0.155,0.161,0.169,0.162
Species,0.029,0.038,0.079,0.076,0.081,0.076
Species,0.078,0.101,0.143,0.13,0.145,0.147
Species,0.032,0.048,0.105,0.089,0.094,0.103
Species,0.014,0.053,0.091,0.083,0.082,0.091
Species,0.069,0.104,0.126,0.121,0.134,0.157
Species,0.072,0.096,0.131,0.152,0.167,0.17
Species,0.029,0.05,0.104,0.082,0.084,0.1
Species,0.078,0.104,0.139,0.12,0.143,0.154
Species,0.023,0.043,0.096,0.069,0.103,0.112
Species,0.089,0.098,0.116,0.143,0.141,0.155
Species,0.081,0.109,0.15,0.17,0.164,0.178
Species,0.009,0.023,0.067,0.067,0.062,0.079
Species,0.098,0.098,0.135,0.149,0.139,0.164
Species,0.072,0.098,0.121,0.145,0.15,0.145
Species,0.075,0.118,0.159,0.158,0.154,0.16
Species,0.026,0.043,0.094,0.085,0.093,0.112
Species,0.081,0.091,0.137,0.147,0.14,0.148
Species,0.061,0.088,0.131,0.143,0.152,0.132
Species,0.081,0.106,0.124,0.12,0.146,0.152
Species,0.009,0.025,0.083,0.072,0.075,0.057
Species,0.072,0.111,0.142,0.165,0.172,0.162
Species,0.069,0.089,0.128,0.13,0.156,0.14
Species,0.089,0.099,0.14,0.143,0.149,0.164
Genus,0.282,0.285,0.298,0.428,0.372,0.398
Genus,0.28,0.27,0.292,0.409,0.371,0.41
Genus,0.285,0.265,0.292,0.42,0.357,0.409
Genus,0.282,0.272,0.307,0.42,0.358,0.423
Genus,0.297,0.3,0.296,0.408,0.365,0.424
Genus,0.308,0.278,0.298,0.411,0.354,0.416
Genus,0.285,0.272,0.294,0.413,0.363,0.406
Genus,0.305,0.3,0.3,0.426,0.368,0.414
Genus,0.271,0.296,0.294,0.391,0.366,0.387
Genus,0.271,0.291,0.296,0.388,0.364,0.393
Genus,0.259,0.286,0.28,0.399,0.355,0.401
Genus,0.271,0.295,0.292,0.38,0.352,0.405
Genus,0.294,0.298,0.29,0.397,0.363,0.4
Genus,0.297,0.293,0.291,0.391,0.359,0.401
Genus,0.265,0.29,0.286,0.382,0.366,0.386
Genus,0.297,0.298,0.287,0.397,0.369,0.406
Genus,0.282,0.308,0.315,0.384,0.349,0.411
Genus,0.285,0.306,0.32,0.373,0.337,0.414
Genus,0.28,0.303,0.306,0.388,0.333,0.414
Genus,0.285,0.311,0.311,0.373,0.329,0.41
Genus,0.314,0.301,0.309,0.373,0.345,0.419
Genus,0.308,0.311,0.319,0.382,0.341,0.423
Genus,0.285,0.305,0.305,0.375,0.338,0.414
Genus,0.32,0.296,0.321,0.389,0.354,0.421
Genus,0.282,0.288,0.308,0.4,0.35,0.414
Genus,0.288,0.288,0.311,0.393,0.346,0.424
Genus,0.277,0.286,0.312,0.393,0.351,0.411
Genus,0.282,0.301,0.313,0.382,0.339,0.426
Genus,0.305,0.3,0.305,0.422,0.361,0.415
Genus,0.311,0.296,0.313,0.409,0.339,0.42
Genus,0.282,0.29,0.313,0.408,0.354,0.401
Genus,0.311,0.3,0.316,0.418,0.357,0.419
Genus,0.262,0.29,0.3,0.375,0.349,0.383
Genus,0.268,0.281,0.293,0.379,0.35,0.385
Genus,0.265,0.286,0.298,0.38,0.349,0.391
Genus,0.265,0.296,0.307,0.371,0.352,0.383
Genus,0.3,0.296,0.292,0.404,0.356,0.385
Genus,0.303,0.286,0.299,0.371,0.349,0.401
Genus,0.265,0.288,0.299,0.373,0.346,0.376
Genus,0.305,0.291,0.298,0.402,0.357,0.393
